image_path,filename,defect_type,final_severity,rationale,label_source,requires_review
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10038.JPEG,7.MOV_20201228114152_10038.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10039.JPEG,7.MOV_20201228114152_10039.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10040.JPEG,7.MOV_20201228114152_10040.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10041.JPEG,7.MOV_20201228114152_10041.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10042.JPEG,7.MOV_20201228114152_10042.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10043.JPEG,7.MOV_20201228114152_10043.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10044.JPEG,7.MOV_20201228114152_10044.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10045.JPEG,7.MOV_20201228114152_10045.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10046.JPEG,7.MOV_20201228114152_10046.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10047.JPEG,7.MOV_20201228114152_10047.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10048.JPEG,7.MOV_20201228114152_10048.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10049.JPEG,7.MOV_20201228114152_10049.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10050.JPEG,7.MOV_20201228114152_10050.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
C:\Users\acous\Desktop\sih2026\Railway Track Surface Faults Dataset\Cracks\7.MOV_20201228114152_10051.JPEG,7.MOV_20201228114152_10051.JPEG,Cracks,,HUMAN_REVIEW_REQUIRED,UNRESOLVED,True
