train_id,region,season,train_type,train_age_years,average_speed_kmph,distance_travelled_km,track_temperature_c,rail_wear_mm,track_vibration_level,ballast_condition,track_curvature_degree,ambient_temperature_c,humidity_percent,rainfall_mm,wind_speed_kmph,wheel_wear_percent,axle_temperature_c,brake_pressure_psi,brake_pad_wear_percent,bearing_temperature_c,battery_voltage,traction_motor_temp_c,signal_system_status,power_consumption_kw,load_factor_percent,daily_trips,delay_minutes,last_maintenance_days,inspection_score,sensor_health_index,failure_type,maintenance_required,failure_severity,risk_score
1,Central Railway,Winter,Freight,18,93.91142551417138,1088075,30.385538740820703,11.267383889068283,5.017916087571662,Good,2.5335996439644655,38.369257545623185,74.21478050259813,28.050315514382987,,29.05380492733225,74.70739018067022,89.6130311225314,51.3905067758987,93.68808647044688,22.007632011894955,88.97266911571066,Normal,833.8086656301344,59.22158277643027,16,10.67822053517392,75.0,81.61402800867776,48.22993787020514,None,0,None,66.62125869787563
2,South Central Railway,Monsoon,Freight,3,83.9855595304154,872233,39.700772814873055,10.452440120520722,,Good,7.235148004146844,25.06808748622679,41.12785982429021,20.28759474241015,0.7574013421276984,25.236469193618614,87.3060507065117,99.76383254303997,57.5689264583839,60.01656981025778,22.858263795119754,75.54235974171577,Normal,573.1068492334214,62.512149932298406,20,12.61210692895922,182.0,94.53887261066386,56.72678980907631,None,0,None,59.477827500891316
3,Southern Railway,Monsoon,Express,25,70.44643236745081,1215080,54.34622917269383,10.794243139683612,5.0436260291117145,Good,11.938482496047344,47.82946526116849,49.127680160551925,11.105063788222383,12.31949979058721,75.6887759382563,62.568404329716806,96.70564208260083,18.813135805547358,67.31612886780769,26.829425242128334,75.39435989504288,Normal,475.18674253384745,59.38579640713127,20,8.537663477393984,161.0,82.55645824142884,73.18380162592737,None,0,None,59.66619580799588
4,Northern Railway,Summer,Express,30,25.392441290122903,1113903,16.01938624401478,7.983676867104486,2.1564394099248374,Good,5.884847639666156,33.39377815267088,85.16869243307738,,14.883442618607335,25.9477097177544,78.24894048971433,96.61559466396379,30.27935666610901,64.4283570120641,19.134675702459262,61.81767060968594,Normal,663.3416126657339,93.59786052532276,8,6.5825530429874135,164.0,79.14338762354213,74.42680176072274,None,0,None,54.68449367308681
5,Northern Railway,Monsoon,Express,12,95.50401347954931,21787,22.70973557821599,5.150874237079223,6.056354746757442,Good,6.866401959783244,37.50344543509489,71.42308869981547,,21.840181096198748,21.225880177623736,79.07371121350981,84.07036436983859,49.375257591660485,59.681869324700294,23.76855884558726,66.63421557975491,Normal,992.2764934273187,29.84514686936987,2,20.180112522986832,86.0,60.37062089816055,99.28266248343809,None,0,None,54.711521481833124
6,Eastern Railway,Monsoon,Passenger,22,76.36857743152464,983213,41.6323717265623,7.757125176399517,2.662646599770392,Poor,4.194541612764152,37.61933461323383,58.16544313630165,,18.742575510427336,52.032034279647064,73.75890521776816,98.45744624039398,39.110994036455594,84.47505939499706,21.886557278861083,61.87229455033463,Normal,849.6317412069503,85.863155047047,23,12.243925806332614,67.0,94.2477512628738,94.34193460312594,None,0,None,47.6650641943155
7,Central Railway,Monsoon,Passenger,10,111.50518039258657,1217230,21.583799282833148,11.46273300670755,4.353206020362161,Good,2.9484701143403176,35.37120931589422,66.72729050079445,,10.48487633365906,46.308556883476726,64.15547128960117,91.2176520521119,37.141977755653706,58.188301251128586,21.005463369513954,80.96185164627657,Normal,850.1268744615531,67.3555292768312,23,9.388613294404191,75.0,80.74188199032558,83.60997841132765,None,0,None,54.994429055290944
8,South Central Railway,Summer,Passenger,25,73.66536953338456,622279,47.40201385257919,0.0,4.348091832760046,Good,6.867901472049176,39.431236980727235,67.97927726891835,30.350494189042916,17.131918548183894,44.25092151673414,64.07020031176555,111.94993685192378,35.487756934641354,65.90514518701494,28.746626436395132,47.4698446028701,Normal,659.970628844306,44.98188780210304,23,8.51052183431552,263.0,77.50420756335048,90.83678687736406,None,0,None,53.04145371345625
9,Western Railway,Winter,Passenger,22,83.35986450442093,268412,46.9417995053504,7.187673870759202,4.362124018771802,Good,5.698505814736381,10.922290607116363,63.09732465280494,4.2075070508990855,12.533018601994495,,,108.5283402581052,20.632894987654094,82.80726357098895,21.939799228799345,81.45412069035658,Normal,986.1939347435832,62.49246467668878,17,21.618132218984513,325.0,78.64558757799458,67.79447959112571,None,0,None,61.20028241034138
10,Central Railway,Summer,Passenger,15,59.43970510897988,999141,51.85175752524188,10.786489945363233,3.010484417116272,Fair,3.0570296639546486,36.5803150314364,60.18402987766944,16.55094003696949,14.157050540588546,35.20572602925269,77.00637491349545,118.57931979783136,24.58612411140538,75.02961991990466,23.990333368548693,69.42715475714552,Normal,1321.217523106249,17.57853766158498,15,6.765796756954602,67.0,68.49468515230615,95.62704327007584,None,0,None,51.526172573265015
